Datum,Částka,Zpráva,Kategorie,Merchant,Month,Year
2022-02-18,-456.6,"Částka: 456,6 CZK 16.02.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 456,6 CZK 16.02.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-02,2022
2022-02-21,-149.9,"Částka: 149,9 CZK 17.02.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 149,9 CZK 17.02.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-02,2022
2022-02-21,-220.0,"Částka: 220 CZK 17.02.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 220 CZK 17.02.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-02,2022
2022-03-03,-274.59,"Částka: 274,59 CZK 01.03.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 274,59 CZK 01.03.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-03,2022
2022-03-07,-370.2,"Částka: 370,2 CZK 04.03.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 370,2 CZK 04.03.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-03,2022
2022-03-09,-445.23,"Částka: 445,23 CZK 07.03.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 445,23 CZK 07.03.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-03,2022
2022-03-11,-481.74,"Částka: 481,74 CZK 09.03.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 481,74 CZK 09.03.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-03,2022
2022-03-15,-302.39,"Částka: 302,39 CZK 13.03.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 302,39 CZK 13.03.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-03,2022
2022-03-17,-555.81,"Částka: 555,81 CZK 15.03.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 555,81 CZK 15.03.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-03,2022
2022-03-22,-119.0,"Částka: 119 CZK 20.03.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 119 CZK 20.03.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-03,2022
2022-03-22,-519.54,"Částka: 519,54 CZK 20.03.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 519,54 CZK 20.03.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-03,2022
2022-03-25,-122.3,"Částka: 122,3 CZK 23.03.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 122,3 CZK 23.03.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-03,2022
2022-03-28,-409.43,"Částka: 409,43 CZK 24.03.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 409,43 CZK 24.03.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-03,2022
2022-03-29,-367.98,"Částka: 367,98 CZK 27.03.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 367,98 CZK 27.03.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-03,2022
2022-04-11,-356.68,"Částka: 356,68 CZK 08.04.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 356,68 CZK 08.04.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-04,2022
2022-04-13,-176.0,"Částka: 176 CZK 11.04.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 176 CZK 11.04.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-04,2022
2022-04-14,-227.63,"Částka: 227,63 CZK 12.04.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 227,63 CZK 12.04.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-04,2022
2022-04-19,-168.5,"Částka: 168,5 CZK 13.04.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 168,5 CZK 13.04.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-04,2022
2022-04-22,-217.4,"Částka: 217,4 CZK 20.04.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 217,4 CZK 20.04.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-04,2022
2022-04-25,-184.6,"Částka: 184,6 CZK 22.04.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 184,6 CZK 22.04.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-04,2022
2022-04-26,-188.76,"Částka: 188,76 CZK 24.04.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 188,76 CZK 24.04.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-04,2022
2022-04-27,-375.7,"Částka: 375,7 CZK 25.04.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 375,7 CZK 25.04.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-04,2022
2022-04-28,-554.4,"Částka: 554,4 CZK 26.04.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 554,4 CZK 26.04.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-04,2022
2022-05-02,-1010.22,"Částka: 1010,22 CZK 29.04.2022 Místo: Billa L. Kuby Ceske Budejov  , Částka: 1010,22 CZK 29.04.2022, Místo: Billa L. Kuby, Ceske Budejov,",Potraviny,Billa,2022-05,2022
2022-05-02,-243.32,"Částka: 243,32 CZK 28.04.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 243,32 CZK 28.04.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-05,2022
2022-05-04,-426.5,"Částka: 426,5 CZK 02.05.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 426,5 CZK 02.05.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-05,2022
2022-05-06,-959.34,"Částka: 959,34 CZK 04.05.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 959,34 CZK 04.05.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-05,2022
2022-05-11,-593.99,"Částka: 593,99 CZK 09.05.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 593,99 CZK 09.05.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-05,2022
2022-05-19,-192.82,"Částka: 192,82 CZK 17.05.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 192,82 CZK 17.05.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-05,2022
2022-05-20,-232.49,"Částka: 232,49 CZK 18.05.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 232,49 CZK 18.05.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-05,2022
2022-05-24,-228.97,"Částka: 228,97 CZK 22.05.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 228,97 CZK 22.05.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-05,2022
2022-05-25,-268.15,"Částka: 268,15 CZK 23.05.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 268,15 CZK 23.05.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-05,2022
2022-05-30,-382.36,"Částka: 382,36 CZK 26.05.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 382,36 CZK 26.05.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-05,2022
2022-06-01,-203.0,"Částka: 203 CZK 30.05.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 203 CZK 30.05.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-06,2022
2022-06-02,-181.56,"Částka: 181,56 CZK 31.05.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 181,56 CZK 31.05.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-06,2022
2022-06-08,-287.97,"Částka: 287,97 CZK 06.06.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 287,97 CZK 06.06.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-06,2022
2022-06-15,-786.35,"Částka: 786,35 CZK 13.06.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 786,35 CZK 13.06.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-06,2022
2022-06-17,-462.99,"Částka: 462,99 CZK 15.06.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 462,99 CZK 15.06.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-06,2022
2022-06-23,-599.23,"Částka: 599,23 CZK 21.06.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 599,23 CZK 21.06.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-06,2022
2022-07-11,-319.09,"Částka: 319,09 CZK 07.07.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 319,09 CZK 07.07.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-07,2022
2022-07-14,-315.69,"Částka: 315,69 CZK 12.07.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 315,69 CZK 12.07.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-07,2022
2022-07-18,-971.4,"Částka: 971,4 CZK 15.07.2022 Místo: Billa Sedlecka 599 Sedlcany  , Částka: 971,4 CZK 15.07.2022, Místo: Billa Sedlecka 599, Sedlcany,",Potraviny,Billa,2022-07,2022
2022-07-20,-322.27,"Částka: 322,27 CZK 18.07.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 322,27 CZK 18.07.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-07,2022
2022-07-22,-670.06,"Částka: 670,06 CZK 20.07.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 670,06 CZK 20.07.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-07,2022
2022-07-25,-134.01,"Částka: 134,01 CZK 21.07.2022 Místo: Billa Lidicka Hluboka nad V  , Částka: 134,01 CZK 21.07.2022, Místo: Billa Lidicka, Hluboka nad V,",Potraviny,Billa,2022-07,2022
2022-07-26,-1060.59,"Částka: 1060,59 CZK 24.07.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 1060,59 CZK 24.07.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-07,2022
2022-07-28,-448.42,"Částka: 448,42 CZK 26.07.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 448,42 CZK 26.07.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-07,2022
2022-08-08,-647.63,"Částka: 647,63 CZK 06.08.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 647,63 CZK 06.08.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-08,2022
2022-08-22,-430.52,"Částka: 430,52 CZK 18.08.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 430,52 CZK 18.08.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-08,2022
2022-08-26,-251.92,"Částka: 251,92 CZK 24.08.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 251,92 CZK 24.08.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-08,2022
2022-09-05,-612.24,"Částka: 612,24 CZK 03.09.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 612,24 CZK 03.09.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-09,2022
2022-09-07,-725.5,"Částka: 725,5 CZK 05.09.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 725,5 CZK 05.09.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-09,2022
2022-09-09,-448.11,"Částka: 448,11 CZK 07.09.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 448,11 CZK 07.09.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-09,2022
2022-09-13,-84.33,"Částka: 84,33 CZK 11.09.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 84,33 CZK 11.09.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-09,2022
2022-09-16,-306.3,"Částka: 306,3 CZK 14.09.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 306,3 CZK 14.09.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-09,2022
2022-09-16,-527.89,"Částka: 527,89 CZK 14.09.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 527,89 CZK 14.09.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-09,2022
2022-09-19,-537.3,"Částka: 537,3 CZK 16.09.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 537,3 CZK 16.09.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-09,2022
2022-09-19,-191.31,"Částka: 191,31 CZK 15.09.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 191,31 CZK 15.09.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-09,2022
2022-09-21,-378.38,"Částka: 378,38 CZK 19.09.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 378,38 CZK 19.09.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-09,2022
2022-10-17,-316.4,"Částka: 316,4 CZK 14.10.2022 Místo: Billa Palackeho nam. Ceske Budejov  , Částka: 316,4 CZK 14.10.2022, Místo: Billa Palackeho nam., Ceske Budejov,",Potraviny,Billa,2022-10,2022
2022-11-29,-369.46,"Částka: 369,46 CZK 27.11.2022 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 369,46 CZK 27.11.2022, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2022-11,2022
2022-12-19,-641.1,"Částka: 641,1 CZK 17.12.2022 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 641,1 CZK 17.12.2022, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2022-12,2022
2022-12-23,-437.42,"Částka: 437,42 CZK 21.12.2022 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 437,42 CZK 21.12.2022, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2022-12,2022
2023-01-09,-795.49,"Částka: 795,49 CZK 05.01.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 795,49 CZK 05.01.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-01,2023
2023-01-10,-330.2,"Částka: 330,2 CZK 08.01.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 330,2 CZK 08.01.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-01,2023
2023-01-12,-624.76,"Částka: 624,76 CZK 10.01.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 624,76 CZK 10.01.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-01,2023
2023-01-16,-186.05,"Částka: 186,05 CZK 13.01.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 186,05 CZK 13.01.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-01,2023
2023-01-23,-525.8,"Částka: 525,8 CZK 21.01.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 525,8 CZK 21.01.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-01,2023
2023-01-23,-457.13,"Částka: 457,13 CZK 19.01.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 457,13 CZK 19.01.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-01,2023
2023-01-27,-428.97,"Částka: 428,97 CZK 25.01.2023 Místo: Billa Lanova / Jeronym Ceske Budejov, Částka: 428,97 CZK 25.01.2023, Místo: Billa Lanova / Jeronym, Ceske Budejov",Potraviny,Billa,2023-01,2023
2023-01-30,-519.4,"Částka: 519,4 CZK 27.01.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 519,4 CZK 27.01.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-01,2023
2023-01-31,-183.31,"Částka: 183,31 CZK 29.01.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 183,31 CZK 29.01.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-01,2023
2023-02-07,-1746.06,"Částka: 1746,06 CZK 05.02.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 1746,06 CZK 05.02.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-02,2023
2023-02-13,-554.62,"Částka: 554,62 CZK 11.02.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 554,62 CZK 11.02.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-02,2023
2023-02-13,-658.09,"Částka: 658,09 CZK 09.02.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 658,09 CZK 09.02.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-02,2023
2023-02-14,-485.0,"Částka: 485 CZK 12.02.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 485 CZK 12.02.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-02,2023
2023-02-20,-600.5,"Částka: 600,5 CZK 16.02.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 600,5 CZK 16.02.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-02,2023
2023-02-22,-934.5,"Částka: 934,5 CZK 20.02.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 934,5 CZK 20.02.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-02,2023
2023-02-28,-676.52,"Částka: 676,52 CZK 26.02.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 676,52 CZK 26.02.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-02,2023
2023-03-02,-526.24,"Částka: 526,24 CZK 28.02.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 526,24 CZK 28.02.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-03,2023
2023-03-03,-305.54,"Částka: 305,54 CZK 01.03.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 305,54 CZK 01.03.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-03,2023
2023-03-06,-685.84,"Částka: 685,84 CZK 04.03.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 685,84 CZK 04.03.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-03,2023
2023-03-07,-179.8,"Částka: 179,8 CZK 05.03.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 179,8 CZK 05.03.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-03,2023
2023-03-08,-420.7,"Částka: 420,7 CZK 06.03.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 420,7 CZK 06.03.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-03,2023
2023-03-09,-774.94,"Částka: 774,94 CZK 07.03.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 774,94 CZK 07.03.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-03,2023
2023-03-10,-345.9,"Částka: 345,9 CZK 08.03.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 345,9 CZK 08.03.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-03,2023
2023-03-13,-266.6,"Částka: 266,6 CZK 09.03.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 266,6 CZK 09.03.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-03,2023
2023-03-13,-522.98,"Částka: 522,98 CZK 10.03.2023 Místo: Billa L. Kuby Ceske Budejov, Částka: 522,98 CZK 10.03.2023, Místo: Billa L. Kuby, Ceske Budejov",Potraviny,Billa,2023-03,2023
2023-03-13,-312.8,"Částka: 312,8 CZK 11.03.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 312,8 CZK 11.03.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-03,2023
2023-03-13,-243.65,"Částka: 243,65 CZK 10.03.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 243,65 CZK 10.03.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-03,2023
2023-03-15,-563.72,"Částka: 563,72 CZK 13.03.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 563,72 CZK 13.03.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-03,2023
2023-03-20,-427.05,"Částka: 427,05 CZK 16.03.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 427,05 CZK 16.03.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-03,2023
2023-03-22,-1179.41,"Částka: 1179,41 CZK 20.03.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 1179,41 CZK 20.03.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-03,2023
2023-03-27,-1202.8,"Částka: 1202,8 CZK 24.03.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 1202,8 CZK 24.03.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-03,2023
2023-04-05,-248.49,"Částka: 248,49 CZK 03.04.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 248,49 CZK 03.04.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-04,2023
2023-04-11,-1002.46,"Částka: 1002,46 CZK 06.04.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 1002,46 CZK 06.04.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-04,2023
2023-04-13,-340.34,"Částka: 340,34 CZK 11.04.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 340,34 CZK 11.04.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-04,2023
2023-04-19,-729.67,"Částka: 729,67 CZK 17.04.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 729,67 CZK 17.04.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-04,2023
2023-04-20,-219.6,"Částka: 219,6 CZK 18.04.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 219,6 CZK 18.04.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-04,2023
2023-04-21,-350.69,"Částka: 350,69 CZK 19.04.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 350,69 CZK 19.04.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-04,2023
2023-04-28,-1036.84,"Částka: 1036,84 CZK 26.04.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 1036,84 CZK 26.04.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-04,2023
2023-05-02,-483.2,"Částka: 483,2 CZK 28.04.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 483,2 CZK 28.04.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-05,2023
2023-05-09,-504.52,"Částka: 504,52 CZK 05.05.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 504,52 CZK 05.05.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-05,2023
2023-05-09,-1357.98,"Částka: 1357,98 CZK 07.05.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 1357,98 CZK 07.05.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-05,2023
2023-05-11,-650.12,"Částka: 650,12 CZK 09.05.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 650,12 CZK 09.05.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-05,2023
2023-05-17,-1014.25,"Částka: 1014,25 CZK 15.05.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 1014,25 CZK 15.05.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-05,2023
2023-05-18,-434.9,"Částka: 434,9 CZK 16.05.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 434,9 CZK 16.05.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-05,2023
2023-05-24,-559.73,"Částka: 559,73 CZK 22.05.2023 Místo: Billa Lidicka Hluboka nad V, Částka: 559,73 CZK 22.05.2023, Místo: Billa Lidicka, Hluboka nad V",Potraviny,Billa,2023-05,2023
2023-05-25,-619.53,"Částka: 619,53 CZK 23.05.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 619,53 CZK 23.05.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-05,2023
2023-05-29,-595.72,"Částka: 595,72 CZK 26.05.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 595,72 CZK 26.05.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-05,2023
2023-05-30,-774.85,"Částka: 774,85 CZK 28.05.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 774,85 CZK 28.05.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-05,2023
2023-05-31,-194.8,"Částka: 194,8 CZK 29.05.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 194,8 CZK 29.05.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-05,2023
2023-07-24,-623.64,"Částka: 623,64 CZK 21.07.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 623,64 CZK 21.07.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-07,2023
2023-07-25,-789.81,"Částka: 789,81 CZK 23.07.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 789,81 CZK 23.07.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-07,2023
2023-07-27,-676.01,"Částka: 676,01 CZK 25.07.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 676,01 CZK 25.07.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-07,2023
2023-08-03,-219.4,"Částka: 219,4 CZK 01.08.2023 Místo: Billa Palackeho nam. Ceske Budejov, Částka: 219,4 CZK 01.08.2023, Místo: Billa Palackeho nam., Ceske Budejov",Potraviny,Billa,2023-08,2023
